Switzerland, Male,15.8,16.1,15.9,24.7
Syrian Arab Republic, Male,3.8,3.8,3.7,2.9
Tajikistan, Male,5,5,5,6.3
Thailand, Male,21.4,21.7,21,23.7
Timor-Leste, Male,9,9,10.5,18.7
Togo, Male,22.7,22.3,23,23.2
Tonga, Male,5.2,5.2,5.5,5.1
Trinidad and Tobago, Male,21.9,21.7,22.1,24
Tunisia, Male,4.4,4.4,5,5.4
Turkey, Male,11.3,11.3,12.8,12
Turkmenistan, Male,11,11.6,12.2,16.4
Uganda, Male,21.2,21.1,21.2,21.2
Ukraine, Male,34.5,35.2,41.5,58.1
United Arab Emirates, Male,3.5,3.5,3.6,4.3
United Kingdom, Male,11.9,11.6,10.6,12.7
United Republic of Tanzania, Male,14.3,14.2,13.8,18.2
United States of America, Male,21.1,20.5,18.6,16.5
Uruguay, Male,26.8,28.9,24.3,28
Uzbekistan, Male,10.3,10.4,8.9,13.9
Vanuatu, Male,8.1,8.3,9.1,12.3
Venezuela, Male,6.6,6.8,7.7,16.1
Vietnam, Male,10.8,10.9,11,11.5
Yemen, Male,13.4,13.6,14.6,12.8
Zambia, Male,17.5,17.4,17.9,21.9
Zimbabwe, Male,29.1,28.7,32.3,35.5
